

1	Hoert	Hört	VVIMP	hören	pl|2|imp	--	0
15	Geluͤck	Glück	NN	Glück	acc|sg|neut	OA	17
16	zu	zu	PTKZU	zu	_	PM	17
17	schaffen	schaffen	VVINF	schaffen	_	OC	11
18	/	/	$,	/	_	--	17
19	Den	Den	ART	d	acc|sg|masc	NK	20
20	Mantel	Mantel	NN	Mantel	acc|sg|masc	MO	21
21	nach	nach	APPR	nach	_	MO	11
22	dem	dem	ART	d	dat|sg|masc	NK	23
23	Winde	Winde	NN	Wind	dat|sg|masc	NK	21
24	.	.	SENT	.	_	--	23

1	Da	Da	KOUS	da	_	CP	2
2	alles	alles	PIS	all	nom|sg|neut	--	0
3	/	/	$,	/	_	--	2
4	leider	leider	ADJD	leider	_	MO	2
5	!	!	SENT	!	_	--	4

1	Ging	Ging	VVFIN	gehen	nom|sg|masc	SB	11
2	uͤbern	über	APPR	über	_	MO	1
3	Hauffen	Haufen	NN	Haufe	acc|pl|fem	NK	2
4	/	/	$,	/	_	--	3
5	Und	Und	KON	und	_	JU	7
6	jeder	jeder	PIS	jed	nom|sg|masc	SB	7
7	fiel	fiel	VVFIN	fallen	sg|3|past|ind	--	0
8	ans	ans	APPRART	ans	acc|sg|neut	MO	7
9	Lauffen	Lauffen	NN	Lauffen	acc|sg|neut	NK	8
10	/	/	$,	/	_	--	9
11	War	War	VAFIN	sein	sg|1|past|ind	CJ	7
12	ich	ich	PPER	ich	nom|sg|*|1	SB	11
13	geschwinde	geschwinde	ADJD	geschwind	acc|pl|fem|pos	PD	11
14	/	/	$,	/	_	--	13
15	Und	Und	KON	und	_	CD	7
16	stahl	stahl	VVFIN	stahl	sg|3|past|ind	CJ	15
17	mir	mir	PPER	ich	dat|sg|*|1	DA	16
18	diese	diese	PDAT	dies	acc|pl|fem	NK	19
19	Kleider	Kleider	NN	Kleid	acc|pl|neut	OA	16
20	Von	Von	APPR	von	_	MO	16
21	einem	einem	ART	ein	dat|sg|neut	NK	23
22	todten	toten	ADJA	tot	dat|sg|neut|pos	NK	23
23	Affen	Affen	NN	Affe	dat|sg|neut	NK	20
24	.	.	SENT	.	_	--	23

1	Dadurch	Dadurch	PAV	dadurch	_	MO	4
2	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
3	Elcius	Elcius	NE	Elcius	nom|sg|neut	SB	2
4	gemetamorphofirt	gemetamorphofirt	VVPP	gemetamorphofirt	_	PD	2
5	.	.	SENT	.	_	--	4

1	Daß	Dass	KOUS	Dass	_	CP	7
2	er	er	PPER	er	nom|sg|masc|3	SB	7
3	fuͤr	für	APPR	für	_	MO	7
4	einen	einen	ART	ein	acc|sg|masc	NK	5
5	Perser	Perser	NN	Perser	acc|sg|masc	NK	3
6	jetzt	jetzt	ADV	jetzt	_	MO	7
7	passirt	passiert	VVPP	passieren	sg|3|pres|ind	--	0
8	.	.	SENT	.	_	--	7

1	Was	Was	PWS	was	nom|sg|neut	SB	2
2	macht	macht	VVFIN	machen	sg|3|pres|ind	MO	4
3	ihr	ihr	PPOSAT	ihr	dat|sg|fem|3	DA	2
4	lieben	lieben	ADJA	lieb	pl|3|pres|ind	--	0
5	Kinder	Kinder	NN	Kind	nom|pl|neut	OA	4
6	/	/	$,	/	_	--	5
7	Darff	darf	VMFIN	dürfen	sg|3|pres|ind	CJ	4
8	wohl	wohl	ADV	wohl	_	MO	7
9	ein	ein	ART	ein	nom|sg|masc	NK	11
10	armer	armer	ADJA	arm	nom|sg|masc|pos	NK	11
11	Schinder	Schinder	NN	Schinder	nom|sg|masc	SB	7
12	Bey	Bei	APPR	bei	_	MNR	11
13	euch	euch	PPER	ihr	dat|pl|*|2	NK	12
14	die	die	ART	d	acc|pl|neut	NK	16
15	matten	matten	ADJA	matt	acc|pl|neut|pos	NK	16
16	Glieder	Glieder	NN	Glied	acc|pl|neut	SB	19
17	Zur	Zur	APPRART	zu	dat|sg|fem	MNR	16
18	Ruhe	Ruhe	NN	Ruhe	dat|sg|fem	NK	17
19	legen	legen	VVFIN	legen	pl|3|pres|ind	OC	7
20	nieder	nieder	PTKVZ	nieder	_	SVP	19
21	?	?	SENT	?	_	--	20

1	Wiltu	Wiltu	NE	Wiltu	_	CP	5
2	dich	dich	PPER	du	acc|sg|*|2	OA	5
3	zu	zu	APPR	zu	_	MO	5
4	uns	uns	PPER	wir	dat|pl|*|1	NK	3
5	setzen	setzen	VVINF	setzen	_	MO	8
6	/	/	$,	/	_	--	5
7	So	So	ADV	so	_	MO	17
8	wollen	wollen	VMFIN	wollen	pl|1|pres|ind	--	0
9	wir	wir	PPER	wir	nom|pl|*|1	SB	8
10	in	in	APPR	in	_	MO	17
11	deiner	deiner	PPOSAT	dein	dat|sg|fem	NK	12
12	Ruh	Ruhe	NN	Ruhe	dat|sg|fem	NK	10
13	Mit	Mit	APPR	mit	_	MO	17
14	einem	einem	ART	ein	dat|sg|masc	NK	15
15	Liedlein	Liedlein	NN	Liedlein	dat|sg|masc	NK	13
16	dich	dich	PRF	du	acc|sg|2	OA	17
17	ergetzen	ergötzen	NN	ergötzen	_	OC	8
18	.	.	SENT	.	_	--	17

1	Thut	Tut	VVFIN	tun	sg|3|pres|ind	MO	5
2	das	das	PDS	d	acc|sg|neut	OA	1
3	/	/	$,	/	_	--	2
4	ich	ich	PPER	ich	nom|sg|*|1	SB	5
5	hoͤre	höre	VVFIN	hören	sg|1|pres|ind	--	0
6	zu	zu	PTKVZ	zu	_	SVP	5
7	.	.	SENT	.	_	--	6

1	Mein	Mein	PPOSAT	mein	nom|sg|neut	NK	2
2	Kaͤtgen	Kätgen	NN	Kätgen	nom|sg|neut	SB	3
3	Ist	Ist	VAFIN	sein	sg|3|pres|ind	--	0
4	ein	ein	ART	ein	nom|sg|neut	NK	5
5	Maͤdgen	Mädchen	NN	Mädchen	nom|sg|neut	SB	3
6	/	/	$,	/	_	--	5
7	Der	Der	PRELS	d	nom|sg|masc	NK	8
8	jede	jede	PIS	jed	acc|sg|fem	SB	10
9	weichen	weichen	VVINF	weichen	_	OC	10
10	muß	muß	VMFIN	müssen	sg|3|pres|ind	RC	5
11	/	/	$,	/	_	--	10
12	Wenn	Wenn	KOUS	wenn	_	CP	21
13	ich	ich	PPER	ich	nom|sg|*|1	SB	21
14	sie	sie	PPER	Sie	acc|*|*|3	OA	21
15	bey	bei	APPR	bei	_	MO	21
16	den	den	ART	d	dat|pl|masc	NK	17
17	Schaafen	Schafen	NN	Schaf	dat|pl|masc	NK	15
18	Offt	oft	ADV	oft	_	MO	21
19	finde	finde	VVFIN	finden	sg|3|pres|subj	MO	21
20	ruhig	ruhig	ADJD	ruhig	pos	MO	21
21	schlaffen	schlaffen	ADJA	schlaff	_	MO	23
22	/	/	$,	/	_	--	21
23	Geb	Geb	NE	Geb	sg|1|past|ind	CJ	3
24	ich	ich	PPER	ich	nom|sg|*|1	SB	23
25	ihr	ihr	PPER	Ihr	dat|sg|fem|3	DA	23
26	manchen	manchen	PIAT	manch	acc|sg|masc	NK	27
27	Kuß	Kuß	NN	Kuß	acc|sg|masc	OA	23
28	.	.	SENT	.	_	--	27

1	Mein	Mein	PPOSAT	mein	nom|sg|neut	NK	2
2	Kaͤtgen	Kätgen	NN	Kätgen	nom|sg|neut	SB	3
3	Ist	Ist	VAFIN	sein	sg|3|pres|ind	--	0
4	ein	ein	ART	ein	nom|sg|neut	NK	5
5	Maͤdgen	Mädchen	NN	Mädchen	nom|sg|neut	SB	3
6	/	/	$,	/	_	--	5
7	Der	Der	PRELS	d	nom|sg|masc	SB	10
8	jede	jede	PIS	jed	nom|sg|masc	MO	9
9	weichen	weichen	VVINF	weichen	_	OC	10
10	muß	muß	VMFIN	müssen	sg|3|pres|ind	RC	5
11	.	.	SENT	.	_	--	10

1	Das	Das	ART	d	nom|sg|neut	NK	2
2	Kindgen	Kindgen	NN	Kindgen	nom|sg|neut	SB	3
3	Hat	Hat	VAFIN	haben	sg|3|pres|ind	--	0
4	ein	ein	ART	ein	nom|sg|neut	NK	5
5	Muͤndgen	Mündgen	NN	Mündgen	nom|sg|neut	SB	3
6	So	So	ADV	so	_	MO	7
7	suͤß	süß	ADJD	süß	pos	PD	3
8	wie	wie	KOKOM	wie	_	CM	10
9	eine	eine	ART	ein	nom|sg|fem	NK	10
10	Nuß	Nuß	NN	Nuß	nom|sg|fem	CC	6
11	/	/	$,	/	_	--	10
12	Wann	Wann	KOUS	wann	sg|3|pres|ind	MO	16
13	man	man	PIS	man	nom|sg|*	SB	16
14	das	das	ART	d	acc|sg|neut	NK	15
15	Muͤndgen	Mündgen	NN	Mündgen	acc|sg|neut	OA	16
16	lecket	lecket	VVFIN	lecket	sg|3|pres|ind	CJ	3
17	/	/	$,	/	_	--	16
18	So	So	ADV	so	_	MO	19
19	schmecket	schmecket	VVFIN	schmecket	pos	MO	16
20	/	/	$,	/	_	--	19
21	ach	ach	ITJ	ach	_	SVP	16
22	!	!	SENT	!	_	--	21

1	so	so	ADV	so	_	MO	2
2	schmecket	schmecket	VVFIN	schmecket	sg|3|pres|ind	--	0
3	Wie	Wie	KOKOM	wie	_	CM	4
4	Zucker	Zucker	NN	Zucker	dat|sg|masc	CC	1
5	jeder	jeder	PIAT	jed	nom|sg|masc	NK	6
6	Kuß	Kuß	NN	Kuß	nom|sg|masc	SB	2
7	.	.	SENT	.	_	--	6

1	Mein	Mein	PPOSAT	mein	nom|sg|neut	NK	2
2	Kaͤtgen	Kätgen	NN	Kätgen	nom|sg|neut	SB	3
3	Ist	Ist	VAFIN	sein	sg|3|pres|ind	--	0
4	ein	ein	ART	ein	nom|sg|neut	NK	5
5	Maͤdgen	Mädchen	NN	Mädchen	nom|sg|neut	SB	3
6	/	/	$,	/	_	--	5
7	Der	Der	PRELS	d	nom|sg|masc	SB	10
8	jede	jede	PIS	jed	nom|sg|masc	MO	9
9	weichen	weichen	VVINF	weichen	_	OC	10
10	muß	muß	VMFIN	müssen	sg|3|pres|ind	RC	5
11	.	.	SENT	.	_	--	10

1	Es	Es	PPER	es	nom|sg|neut|3	SB	2
2	prangen	prangen	VVFIN	prangen	pl|3|pres|ind	--	0
3	Ihre	Ihre	PPOSAT	Ihr	nom|pl|fem	NK	4
4	Wangen	Wangen	NN	Wange	nom|pl|fem	OA	11
5	In	In	APPR	in	_	MO	11
6	Schoͤnheits-Uͤberfluß	Schönheits-Überfluß	NE	Schönheits-Überfluß	dat|sg|masc	NK	5
7	/	/	$,	/	_	--	6
8	Die	Die	ART	d	nom|pl|masc	NK	10
9	geilen	geilen	ADJA	geil	_	NK	10
10	Luͤfftlein	Lüftlein	NN	Lüftlein	nom|sg|neut	OA	11
11	spielen	spielen	VVINF	spielen	_	OC	2
12	/	/	$,	/	_	--	11
13	Dran	Dran	ADJD	Dran	nom|sg|masc	DA	17
14	ihre	ihre	PPOSAT	ihr	acc|sg|fem	NK	15
15	Brunst	Brunst	NN	Brunst	acc|sg|fem	OA	17
16	zu	zu	PTKZU	zu	_	PM	17
17	kuͤhlen	kühlen	VVINF	kühlen	_	RE	1
18	/	/	$,	/	_	--	17
19	Und	Und	KON	und	_	CD	2
20	rauben	rauben	VVINF	rauben	pl|3|pres|ind	CJ	19
21	manchen	manchen	PIAT	manch	acc|sg|masc	NK	22
22	Kuß	Kuß	NN	Kuß	acc|sg|masc	OA	20
23	.	.	SENT	.	_	--	22

1	Mein	Mein	PPOSAT	mein	nom|sg|neut	NK	2
2	Kaͤtgen	Kätgen	NN	Kätgen	nom|sg|neut	SB	3
3	Ist	Ist	VAFIN	sein	sg|3|pres|ind	--	0
4	ein	ein	ART	ein	nom|sg|neut	NK	5
5	Maͤdgen	Mädchen	NN	Mädchen	nom|sg|neut	SB	3
6	/	/	$,	/	_	--	5
7	Der	Der	PRELS	d	nom|sg|masc	SB	10
8	jede	jede	PIS	jed	nom|sg|masc	MO	9
9	weichen	weichen	VVINF	weichen	_	OC	10
10	muß	muß	VMFIN	müssen	sg|3|pres|ind	RC	5
11	.	.	SENT	.	_	--	10

1	Ich	Ich	PPER	ich	nom|sg|*|1	SB	2
2	solte	sollte	VMFIN	sollen	sg|3|past|ind	--	0
3	schier	schier	ADJD	schier	pos	MO	2
4	mein	mein	PPOSAT	mein	nom|sg|masc	NK	5
5	Ungluͤck	Unglück	NN	Unglück	nom|sg|neut	OA	7
6	gantz	gantz	ADJD	ganz	pos	MO	7
7	vergessen	vergessen	VVINF	vergessen	_	OC	2
8	/	/	$,	/	_	--	7
9	Da	Da	KOUS	da	_	CP	18
10	doch	doch	ADV	doch	_	MO	13
11	der	der	ART	d	nom|sg|masc	NK	13
12	leere	leere	ADJA	leer	nom|sg|masc|pos	NK	13
13	Magen	Magen	NN	Magen	nom|sg|masc	SB	18
14	Den	Den	ART	d	*|*|*	PNC	15
15	Hunger	Hunger	NN	Hunger	nom|sg|masc	NK	13
16	nicht	nicht	PTKNEG	nicht	_	NG	19
17	mehr	mehr	ADV	mehr	_	MO	16
18	kan	kann	VMFIN	können	sg|3|pres|ind	MO	2
19	ertragen	ertragen	VVPP	ertragen	_	OC	18
20	/	/	$,	/	_	--	19
21	Weil	Weil	KOUS	weil	_	CP	28
22	ich	ich	PPER	ich	nom|sg|*|1	SB	28
23	den	den	ART	d	acc|sg|masc	NK	25
24	gantzen	ganzen	ADJA	ganz	acc|sg|masc|pos	NK	25
25	Tag	Tag	NN	Tag	acc|sg|masc	OA	28
26	noch	noch	ADV	noch	_	MO	27
27	nicht	nicht	PTKNEG	nicht	_	NG	28
28	gegessen	gegessen	VVPP	essen	_	MO	18
29	.	.	SENT	.	_	--	28

1	Was	Was	PWS	was	acc|sg|neut	OA	2
2	fang	fange	VVFIN	fangen	sg|1|pres|ind	--	0
3	ich	ich	PPER	ich	nom|sg|*|1	SB	2
4	armer	armer	ADJA	arm	sg|1|pres|ind	NK	5
5	Teuffel	Teufel	NN	Teufel	acc|sg|masc	OA	2
6	an	an	PTKVZ	an	_	SVP	2
7	/	/	$,	/	_	--	6
8	Wo	Wo	PWAV	wo	_	MO	14
9	ich	ich	PPER	ich	nom|sg|*|1	SB	14
10	das	das	ART	d	acc|sg|neut	NK	11
11	Brodt	Brot	NN	Brot	acc|sg|neut	OA	13
12	nicht	nicht	PTKNEG	nicht	_	NG	14
13	betteln	betteln	VVINF	betteln	_	OC	14
14	kan	kann	VMFIN	können	sg|3|pres|ind	CJ	2
15	/	/	$,	/	_	--	14
16	So	So	ADV	so	_	MO	17
17	muß	muß	VMFIN	müssen	sg|1|pres|ind	MO	14
18	ich	ich	PPER	ich	nom|sg|*|1	SB	17
19	wohl	wohl	ADV	wohl	_	MO	17
20	von	von	APPR	von	_	MO	22
21	Hunger	Hunger	NN	Hunger	dat|sg|masc	NK	20
22	sterben	sterben	VVINF	sterben	_	OC	17
23	/	/	$,	/	_	--	22
24	Sonst	Sonst	ADV	sonst	_	MO	25
25	weiß	weiß	VVFIN	wissen	sg|1|pres|ind	CJ	17
26	ich	ich	PPER	ich	nom|sg|*|1	SB	25
27	nichtes	Nichttees	NN	Nichttees	acc|sg|neut	OA	29
28	zu	zu	PTKZU	zu	_	PM	29
29	erwerben	erwerben	VVINF	erwerben	_	OC	25
30	.	.	SENT	.	_	--	29

